Actual,Predicted
13638.2314453125,13638.2314453125
13593.6103515625,13593.6103515625
13549.4033203125,13549.4033203125
13505.6083984375,13505.6083984375
13462.2216796875,13462.2216796875
13419.2392578125,13419.2392578125
13376.6572265625,13376.6572265625
13334.4716796875,13334.4716796875
13292.6787109375,13292.6787109375
13251.2744140625,13251.2744140625
13210.2568359375,13210.2568359375
13169.6201171875,13169.6201171875
13129.3623046875,13129.3623046875
13089.4794921875,13089.4794921875
13049.9677734375,13049.9677734375
13010.82421875,13010.82421875
12972.0458984375,12972.0458984375
12933.626953125,12933.626953125
12895.56640625,12895.56640625
12857.8603515625,12857.8603515625
12820.5048828125,12820.5048828125
12783.498046875,12783.498046875
12746.8359375,12746.8359375
12710.515625,12710.515625
12674.5322265625,12674.5322265625
12638.8857421875,12638.8857421875
12603.5693359375,12603.5693359375
12568.58203125,12568.58203125
12533.9208984375,12533.9208984375
12499.58203125,12499.58203125
12465.5625,12465.5625
12431.8603515625,12431.8603515625
12398.47265625,12398.47265625
12365.3955078125,12365.3955078125
12332.6259765625,12332.6259765625
12300.1611328125,12300.1611328125
12267.9990234375,12267.9990234375
12236.13671875,12236.13671875
12204.5712890625,12204.5712890625
12173.2998046875,12173.2998046875
12142.3193359375,12142.3193359375
12111.6259765625,12111.6259765625
12081.2197265625,12081.2197265625
12051.0966796875,12051.0966796875
12021.25390625,12021.25390625
11991.6904296875,11991.6904296875
11962.4013671875,11962.4013671875
11933.3837890625,11933.3837890625
11904.63671875,11904.63671875
11876.158203125,11876.158203125
11847.9453125,11847.9453125
11819.9951171875,11819.9951171875
11792.3046875,11792.3046875
11764.8720703125,11764.8720703125
11737.6953125,11737.6953125
11710.7705078125,11710.7705078125
11684.09765625,11684.09765625
11657.6728515625,11657.6728515625
11631.4931640625,11631.4931640625
11605.556640625,11605.556640625
11579.86328125,11579.86328125
11554.4091796875,11554.4091796875
11529.19140625,11529.19140625
11504.208984375,11504.208984375
11479.4580078125,11479.4580078125
11454.9375,11454.9375
11430.646484375,11430.646484375
11406.580078125,11406.580078125
11382.7392578125,11382.7392578125
11359.1201171875,11359.1201171875
11335.7197265625,11335.7197265625
11312.5380859375,11312.5380859375
11289.572265625,11289.572265625
11266.8212890625,11266.8212890625
11244.2822265625,11244.2822265625
11221.9521484375,11221.9521484375
11199.8291015625,11199.8291015625
11177.9130859375,11177.9130859375
11156.2001953125,11156.2001953125
11134.6904296875,11134.6904296875
11113.3818359375,11113.3818359375
11092.271484375,11092.271484375
11071.357421875,11071.357421875
11050.6376953125,11050.6376953125
11030.1103515625,11030.1103515625
11009.775390625,11009.775390625
10989.6298828125,10989.6298828125
10969.671875,10969.671875
10949.8984375,10949.8984375
10930.3095703125,10930.3095703125
10910.9033203125,10910.9033203125
10891.6767578125,10891.6767578125
10872.630859375,10872.630859375
10853.76171875,10853.76171875
10835.068359375,10835.068359375
10816.548828125,10816.548828125
10798.201171875,10798.201171875
10780.0244140625,10780.0244140625
10762.017578125,10762.017578125
10744.1787109375,10744.1787109375
10726.505859375,10726.505859375
10708.998046875,10708.998046875
10691.6513671875,10691.6513671875
10674.466796875,10674.466796875
10657.4443359375,10657.4443359375
10640.5791015625,10640.5791015625
10623.8720703125,10623.8720703125
10607.3193359375,10607.3193359375
10590.9208984375,10590.9208984375
10574.67578125,10574.67578125
10558.5810546875,10558.5810546875
10542.634765625,10542.634765625
10526.837890625,10526.837890625
10511.1884765625,10511.1884765625
10495.685546875,10495.685546875
10480.326171875,10480.326171875
10465.1103515625,10465.1103515625
10450.0361328125,10450.0361328125
10435.1025390625,10435.1025390625
10420.30859375,10420.30859375
10405.650390625,10405.650390625
10391.1298828125,10391.1298828125
10376.744140625,10376.744140625
10362.4931640625,10362.4931640625
10348.375,10348.375
10334.3876953125,10334.3876953125
10320.53125,10320.53125
10306.8037109375,10306.8037109375
10293.203125,10293.203125
10279.7294921875,10279.7294921875
10266.380859375,10266.380859375
10253.1572265625,10253.1572265625
10240.0556640625,10240.0556640625
10227.0771484375,10227.0771484375
10214.21875,10214.21875
10201.48046875,10201.48046875
10188.861328125,10188.861328125
10176.359375,10176.359375
10163.9736328125,10163.9736328125
10151.7021484375,10151.7021484375
10139.544921875,10139.544921875
10127.501953125,10127.501953125
10115.5712890625,10115.5712890625
10103.7509765625,10103.7509765625
10092.0419921875,10092.0419921875
10080.4423828125,10080.4423828125
10068.9501953125,10068.9501953125
10057.5654296875,10057.5654296875
10046.2861328125,10046.2861328125
10035.111328125,10035.111328125
10024.041015625,10024.041015625
10013.07421875,10013.07421875
10002.208984375,10002.208984375
9991.4453125,9991.4453125
9980.78125,9980.78125
9970.216796875,9970.216796875
9959.7509765625,9959.7509765625
9949.3818359375,9949.3818359375
9939.109375,9939.109375
9928.9326171875,9928.9326171875
9918.8505859375,9918.8505859375
9908.86328125,9908.86328125
9898.96875,9898.96875
9889.166015625,9889.166015625
9879.4541015625,9879.4541015625
9869.8330078125,9869.8330078125
9860.30078125,9860.30078125
9850.8583984375,9850.8583984375
9841.50390625,9841.50390625
9832.236328125,9832.236328125
9823.0546875,9823.0546875
9813.958984375,9813.958984375
9804.9482421875,9804.9482421875
9796.0205078125,9796.0205078125
9787.1767578125,9787.1767578125
9778.416015625,9778.416015625
9769.736328125,9769.736328125
9761.13671875,9761.13671875
9752.6171875,9752.6171875
9744.177734375,9744.177734375
9735.81640625,9735.81640625
9727.533203125,9727.533203125
9719.3271484375,9719.3271484375
9711.1982421875,9711.1982421875
9703.1435546875,9703.1435546875
9695.166015625,9695.166015625
9687.2607421875,9687.2607421875
9679.4287109375,9679.4287109375
9671.669921875,9671.669921875
9663.9833984375,9663.9833984375
9656.369140625,9656.369140625
9648.8251953125,9648.8251953125
9641.3525390625,9641.3525390625
9633.9482421875,9633.9482421875
9626.61328125,9626.61328125
9619.3466796875,9619.3466796875
9612.146484375,9612.146484375
9605.0146484375,9605.0146484375
9597.94921875,9597.94921875
9590.94921875,9590.94921875
9584.0146484375,9584.0146484375
9577.1435546875,9577.1435546875
9570.337890625,9570.337890625
9563.5947265625,9563.5947265625
9556.9140625,9556.9140625
9550.296875,9550.296875
9543.7412109375,9543.7412109375
9537.24609375,9537.24609375
9530.8115234375,9530.8115234375
9524.4365234375,9524.4365234375
9518.12109375,9518.12109375
