,Date,Price,Price_Future
275,2022-08-20,21127.8,21505.6
276,2022-08-21,21505.6,21387.0
277,2022-08-22,21387.0,21518.2
278,2022-08-23,21518.2,21354.9
279,2022-08-24,21354.9,21548.3
280,2022-08-25,21548.3,20228.7
281,2022-08-26,20228.7,20023.9
282,2022-08-27,20023.9,19547.5
283,2022-08-28,19547.5,20275.5
284,2022-08-29,20275.5,19803.1
285,2022-08-30,19803.1,20041.5
286,2022-08-31,20041.5,20122.5
287,2022-09-01,20122.5,19941.0
288,2022-09-02,19941.0,19820.7
289,2022-09-03,19820.7,19992.7
290,2022-09-04,19992.7,19784.9
291,2022-09-05,19784.9,18781.5
292,2022-09-06,18781.5,19287.0
293,2022-09-07,19287.0,19309.3
294,2022-09-08,19309.3,21352.0
295,2022-09-09,21352.0,21639.5
296,2022-09-10,21639.5,21820.3
297,2022-09-11,21820.3,22386.0
298,2022-09-12,22386.0,20162.5
299,2022-09-13,20162.5,20217.0
300,2022-09-14,20217.0,19690.8
301,2022-09-15,19690.8,19792.5
302,2022-09-16,19792.5,20102.0
303,2022-09-17,20102.0,19404.5
304,2022-09-18,19404.5,19528.6
305,2022-09-19,19528.6,18866.8
306,2022-09-20,18866.8,18447.5
307,2022-09-21,18447.5,19392.5
308,2022-09-22,19392.5,19280.7
309,2022-09-23,19280.7,18911.0
310,2022-09-24,18911.0,18799.7
311,2022-09-25,18799.7,19216.3
312,2022-09-26,19216.3,19070.1
313,2022-09-27,19070.1,19407.3
314,2022-09-28,19407.3,19582.5
315,2022-09-29,19582.5,19411.7
316,2022-09-30,19411.7,19304.0
317,2022-10-01,19304.0,19049.4
318,2022-10-02,19049.4,19622.0
319,2022-10-03,19622.0,20333.0
320,2022-10-04,20333.0,20150.0
321,2022-10-05,20150.0,19954.0
322,2022-10-06,19954.0,19520.9
323,2022-10-07,19520.9,19406.2
324,2022-10-08,19406.2,19430.0
325,2022-10-09,19430.0,19124.0
326,2022-10-10,19124.0,19055.0
327,2022-10-11,19055.0,19148.0
328,2022-10-12,19148.0,19365.5
329,2022-10-13,19365.5,19164.6
330,2022-10-14,19164.6,19060.4
331,2022-10-15,19060.4,19251.9
332,2022-10-16,19251.9,19540.6
333,2022-10-17,19540.6,19320.9
334,2022-10-18,19320.9,19116.7
335,2022-10-19,19116.7,19034.7
336,2022-10-20,19034.7,19150.9
337,2022-10-21,19150.9,19195.1
338,2022-10-22,19195.1,19560.7
339,2022-10-23,19560.7,19318.1
340,2022-10-24,19318.1,20068.3
341,2022-10-25,20068.3,20758.3
342,2022-10-26,20758.3,20285.5
343,2022-10-27,20285.5,20582.8
344,2022-10-28,20582.8,20796.7
345,2022-10-29,20796.7,20615.6
346,2022-10-30,20615.6,20482.0
347,2022-10-31,20482.0,20472.1
348,2022-11-01,20472.1,20140.1
349,2022-11-02,20140.1,20199.7
350,2022-11-03,20199.7,21137.6
351,2022-11-04,21137.6,21289.9
352,2022-11-05,21289.9,20900.0
353,2022-11-06,20900.0,20578.6
354,2022-11-07,20578.6,18534.0
355,2022-11-08,18534.0,15905.0
356,2022-11-09,15905.0,17588.0
357,2022-11-10,17588.0,17058.3
358,2022-11-11,17058.3,16806.9
